Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Denmark,East Denmark,DK-DK2,87.26,175.84,88.0,69.03,entsoe.eu,False,
2021-01-01 01:00:00,Denmark,East Denmark,DK-DK2,81.01,171.37,88.75,69.38,entsoe.eu,False,
2021-01-01 02:00:00,Denmark,East Denmark,DK-DK2,81.3,173.36,88.78,69.04,entsoe.eu,False,
2021-01-01 03:00:00,Denmark,East Denmark,DK-DK2,86.74,181.54,88.06,68.07,entsoe.eu,False,
2021-01-01 04:00:00,Denmark,East Denmark,DK-DK2,98.83,195.14,86.61,67.14,entsoe.eu,False,
2021-01-01 05:00:00,Denmark,East Denmark,DK-DK2,103.45,202.69,85.99,66.77,entsoe.eu,False,
2021-01-01 06:00:00,Denmark,East Denmark,DK-DK2,103.56,203.91,85.99,66.11,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-01 07:00:00,Denmark,East Denmark,DK-DK2,105.41,207.53,85.78,66.51,entsoe.eu,False,
2021-01-01 08:00:00,Denmark,East Denmark,DK-DK2,106.83,202.34,85.61,65.47,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-01 09:00:00,Denmark,East Denmark,DK-DK2,115.84,215.43,84.43,66.34,entsoe.eu,False,
2021-01-01 10:00:00,Denmark,East Denmark,DK-DK2,113.1,208.16,84.7,66.68,entsoe.eu,False,
2021-01-01 11:00:00,Denmark,East Denmark,DK-DK2,110.45,202.65,83.94,65.12,entsoe.eu,False,
2021-01-01 12:00:00,Denmark,East Denmark,DK-DK2,109.17,206.23,83.88,64.86,entsoe.eu,False,
2021-01-01 13:00:00,Denmark,East Denmark,DK-DK2,111.62,210.34,83.24,64.68,entsoe.eu,False,
2021-01-01 14:00:00,Denmark,East Denmark,DK-DK2,114.1,216.78,82.91,65.36,entsoe.eu,False,
2021-01-01 15:00:00,Denmark,East Denmark,DK-DK2,122.28,227.74,81.45,64.51,entsoe.eu,False,
2021-01-01 16:00:00,Denmark,East Denmark,DK-DK2,124.89,230.03,81.05,64.32,entsoe.eu,False,
2021-01-01 17:00:00,Denmark,East Denmark,DK-DK2,122.94,231.23,81.56,65.14,entsoe.eu,False,
2021-01-01 18:00:00,Denmark,East Denmark,DK-DK2,123.41,230.68,81.47,64.1,entsoe.eu,False,
2021-01-01 19:00:00,Denmark,East Denmark,DK-DK2,124.7,228.56,80.7,62.67,entsoe.eu,False,
2021-01-01 20:00:00,Denmark,East Denmark,DK-DK2,122.2,225.98,81.16,62.47,entsoe.eu,False,
2021-01-01 21:00:00,Denmark,East Denmark,DK-DK2,120.39,229.27,82.93,64.41,entsoe.eu,False,
2021-01-01 22:00:00,Denmark,East Denmark,DK-DK2,115.89,223.96,83.93,64.2,entsoe.eu,False,
2021-01-01 23:00:00,Denmark,East Denmark,DK-DK2,103.52,204.59,85.97,63.24,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 00:00:00,Denmark,East Denmark,DK-DK2,96.27,196.89,86.75,63.54,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 01:00:00,Denmark,East Denmark,DK-DK2,94.75,196.37,86.95,64.07,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 02:00:00,Denmark,East Denmark,DK-DK2,90.32,192.6,87.59,64.78,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 03:00:00,Denmark,East Denmark,DK-DK2,90.07,191.59,87.6,64.22,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 04:00:00,Denmark,East Denmark,DK-DK2,95.64,191.85,86.85,62.51,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 05:00:00,Denmark,East Denmark,DK-DK2,114.6,214.52,84.32,62.97,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 06:00:00,Denmark,East Denmark,DK-DK2,120.17,222.8,83.06,62.51,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 07:00:00,Denmark,East Denmark,DK-DK2,131.94,235.5,80.29,61.74,entsoe.eu,False,
2021-01-02 08:00:00,Denmark,East Denmark,DK-DK2,128.3,222.6,80.82,60.93,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 09:00:00,Denmark,East Denmark,DK-DK2,120.81,218.0,82.01,62.78,entsoe.eu,True,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 10:00:00,Denmark,East Denmark,DK-DK2,116.83,216.68,82.94,64.46,entsoe.eu,False,
2021-01-02 11:00:00,Denmark,East Denmark,DK-DK2,117.22,215.12,82.9,63.96,entsoe.eu,False,
2021-01-02 12:00:00,Denmark,East Denmark,DK-DK2,114.41,213.98,83.31,64.56,entsoe.eu,False,
2021-01-02 13:00:00,Denmark,East Denmark,DK-DK2,116.17,216.57,82.99,64.37,entsoe.eu,False,
2021-01-02 14:00:00,Denmark,East Denmark,DK-DK2,127.27,230.84,80.47,63.91,entsoe.eu,False,
2021-01-02 15:00:00,Denmark,East Denmark,DK-DK2,129.6,235.33,80.67,65.21,entsoe.eu,False,
2021-01-02 16:00:00,Denmark,East Denmark,DK-DK2,129.66,234.97,80.44,65.38,entsoe.eu,False,
2021-01-02 17:00:00,Denmark,East Denmark,DK-DK2,118.74,219.65,82.12,65.64,entsoe.eu,False,
2021-01-02 18:00:00,Denmark,East Denmark,DK-DK2,125.81,230.13,81.33,65.48,entsoe.eu,False,
2021-01-02 19:00:00,Denmark,East Denmark,DK-DK2,121.31,224.5,82.35,65.68,entsoe.eu,False,
2021-01-02 20:00:00,Denmark,East Denmark,DK-DK2,127.72,230.01,81.56,66.05,entsoe.eu,False,
2021-01-02 21:00:00,Denmark,East Denmark,DK-DK2,131.74,234.68,80.6,65.69,entsoe.eu,False,
2021-01-02 22:00:00,Denmark,East Denmark,DK-DK2,119.38,222.24,82.37,65.03,entsoe.eu,False,
2021-01-02 23:00:00,Denmark,East Denmark,DK-DK2,98.75,195.02,86.46,65.9,entsoe.eu,False,
2021-01-03 00:00:00,Denmark,East Denmark,DK-DK2,105.34,204.9,85.49,66.94,entsoe.eu,False,
2021-01-03 01:00:00,Denmark,East Denmark,DK-DK2,102.6,201.53,85.73,68.89,entsoe.eu,False,
2021-01-03 02:00:00,Denmark,East Denmark,DK-DK2,106.14,199.69,85.26,69.23,entsoe.eu,False,
2021-01-03 03:00:00,Denmark,East Denmark,DK-DK2,105.4,195.2,85.32,68.03,entsoe.eu,False,
2021-01-03 04:00:00,Denmark,East Denmark,DK-DK2,116.25,207.31,83.93,67.8,entsoe.eu,False,
2021-01-03 05:00:00,Denmark,East Denmark,DK-DK2,125.57,219.07,82.77,71.67,entsoe.eu,False,
2021-01-03 06:00:00,Denmark,East Denmark,DK-DK2,123.69,214.41,82.84,74.13,entsoe.eu,False,
2021-01-03 07:00:00,Denmark,East Denmark,DK-DK2,116.76,205.95,83.85,74.38,entsoe.eu,False,
2021-01-03 08:00:00,Denmark,East Denmark,DK-DK2,120.08,209.06,83.55,77.48,entsoe.eu,False,
2021-01-03 09:00:00,Denmark,East Denmark,DK-DK2,119.28,208.08,83.73,78.58,entsoe.eu,False,
2021-01-03 10:00:00,Denmark,East Denmark,DK-DK2,114.82,201.26,84.3,79.47,entsoe.eu,False,
2021-01-03 11:00:00,Denmark,East Denmark,DK-DK2,116.6,203.14,84.11,80.9,entsoe.eu,False,
2021-01-03 12:00:00,Denmark,East Denmark,DK-DK2,117.39,203.4,83.99,81.87,entsoe.eu,False,
2021-01-03 13:00:00,Denmark,East Denmark,DK-DK2,118.45,202.81,83.99,82.46,entsoe.eu,False,
2021-01-03 14:00:00,Denmark,East Denmark,DK-DK2,115.98,201.22,84.33,82.81,entsoe.eu,False,
2021-01-03 15:00:00,Denmark,East Denmark,DK-DK2,108.13,187.33,85.35,82.53,entsoe.eu,False,
2021-01-03 16:00:00,Denmark,East Denmark,DK-DK2,110.09,188.97,85.15,81.5,entsoe.eu,False,
2021-01-03 17:00:00,Denmark,East Denmark,DK-DK2,108.65,187.26,85.2,82.16,entsoe.eu,False,
